date;ru_exchange;ru_gap;ru_gdp;ru_inflation;ru_interest;ru_m1;us_gap;us_gdp;us_inflation;us_interest;us_m1
2019-02-01;65,7570;1,056960035842670;24966649,61070185;179,39380;7,75;9029700000000;1,011031836458953;5213067,09271342;115,9227811268230;2,49;3,70510e+12
2019-03-01;64,7347;1,026625047531002;26491407,14250175;179,96790;7,75;8980600000000;1,018917315784978;5305878,54260751;116,5767430768770;2,48;3,75730e+12
2019-04-01;64,6917;1,066833970829387;26567530,50000109;180,48980;7,75;9113800000000;1,017926581908861;5352103,00000030;117,1940171194950;2,47;3,82380e+12
2019-05-01;65,0583;1,035171945908179;26436367,22952461;181,10340;7,75;9110700000000;1,010667387935176;5378130,23602395;117,4434948900620;2,44;3,79130e+12
2019-06-01;63,0756;1,031382891653601;27835095,40985373;181,17590;7,50;9192800000000;1,019200813943614;5450191,23062433;117,4668834310530;2,30;3,83130e+12
2019-07-01;63,3791;1,041029629732044;28245508,19999972;181,53820;7,25;9254200000000;1,003183584005401;5397763,99999964;117,6631637358380;2,22;3,86350e+12
2019-08-01;66,4897;1,027550038837655;28504816,44564802;181,10250;7,25;9367600000000;1,006710944643939;5491910,28007833;117,6572019508790;2,06;3,85070e+12
2019-09-01;64,4156;1,001838296938268;28750599,88326155;180,81280;7,00;9411900000000;1,004978670258394;5496575,50082460;117,7493803183130;2,03;3,87800e+12
2019-10-01;63,8734;1,039370717945474;29876415,90000046;181,04780;6,50;9354600000000;1,018388385467770;5511056,00000018;118,0185778391280;1,88;3,92490e+12
2019-11-01;64,0817;0,993821802776859;28539894,92275464;181,55480;6,50;9394000000000;1,022844953651952;5430978,49361752;117,9552911988000;1,77;3,92610e+12
2019-12-01;61,9057;1,062103773625384;30276683,22275997;182,20840;6,25;9658400000000;1,012272952320998;5341149,10318486;117,8479790695490;1,76;4,04330e+12
2020-01-01;63,0359;0,993766210905367;24756713,70000059;182,93720;6,25;9488988282000;0,989075121982180;5254152,00000008;118,3052021159750;1,65;3,98350e+12
2020-02-01;66,9909;0,977903416949486;25163482,95770172;183,54090;6,00;9670800000000;0,979300492179433;5298320,18206665;118,6294314979440;1,59;3,94140e+12
2020-03-01;77,7325;0,935503163368597;26125351,24298637;184,55040;6,00;10241000000000;0,958253269904606;5232669,09378412;118,3712403493610;1,35;4,28570e+12
